Model,Family,Imbalance Strategy,Feature Count,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1,Selection Score
Logistic Regression balanced,linear_weighted,undersample_mild,80,0.6129795918367347,0.07179377193946648,0.5865217391304347,0.5159179049200816,0.6352203697623624,0.48,0.5176811594202898,0.44099567099567094,0.4951948051948052,0.716163172820751
KNN k=5 distance,neighbors,oversample_equal,80,0.6088979591836735,0.029451631260820933,0.5201449275362319,0.4500431134213265,0.6263628009865851,0.6,0.4578260869565217,0.38468085106382977,0.6070516717325228,0.6989065818679389
AdaBoost,boosting,hybrid_50,80,0.5967346938775511,0.05255837079563427,0.49588405797101454,0.46526617504072887,0.6032895436328071,0.52,0.33695652173913043,0.3474747474747475,0.5482828282828283,0.6897879288856968
QDA PCA4 regularized,linear,undersample_mild,80,0.5964897959183674,0.04294110337447184,0.4091884057971014,0.40138347719788037,0.6011022526000319,0.52,0.3382608695652174,0.3001341767299214,0.5094575426490321,0.6767664913579434
AdaBoost,boosting,none,80,0.5889795918367348,0.05968067183424845,0.3107536231884058,0.2996182877224306,0.5571438576904829,0.64,0.2952173913043478,0.27672955974842767,0.5964779874213836,0.6489032493812209
AdaBoost,boosting,oversample_equal,80,0.5728163265306122,0.04424429550007786,0.4823188405797102,0.4552375641947245,0.5677761540908645,0.6,0.2778260869565218,0.2861111111111111,0.6147222222222223,0.6638638393695571
KNN k=5 distance,neighbors,hybrid_50,80,0.5725714285714286,0.04075293035817191,0.5274202898550724,0.4318965759063678,0.6053118421185366,0.56,0.6463768115942028,0.4984126984126984,0.5742857142857143,0.6589507437527022
Stacking SVM+LDA+ET,ensemble,none,80,0.5283265306122449,0.09221476842242786,0.49339130434782613,0.4027247738557036,0.5789424441663918,0.64,0.6863768115942028,0.5591291291291292,0.6672582582582584,0.6088714853833856
QDA PCA4 regularized,linear,hybrid_50,80,0.46767346938775506,0.030708854357389452,0.48695652173913045,0.373999801999802,0.5083469650408426,0.4,0.37086956521739134,0.26790072672425613,0.42959824489236254,0.5424734297877154
QDA PCA4 regularized,linear,oversample_equal,80,0.44334693877551024,0.09642209026918255,0.40710144927536235,0.3385548925548925,0.4835925794068651,0.36,0.26217391304347826,0.22004434589800445,0.38990687361419063,0.5110579172864887
GaussianNB,bayes,none,80,0.3706122448979592,0.09172219614760165,0.42208695652173917,0.32074437488858737,0.42532394016776925,0.34,0.39492753623188404,0.2725840336134454,0.39508403361344535,0.43476111987567667
GaussianNB,bayes,undersample_mild,80,0.3418775510204081,0.126932239480002,0.4379420289855072,0.3020299175137885,0.39761762290936087,0.22,0.3388405797101449,0.19280808080808082,0.2677979797979798,0.40228353452316584
GaussianNB,bayes,oversample_equal,80,0.3136326530612245,0.1189084325308643,0.43191304347826087,0.2908373170290866,0.3630329624344367,0.24,0.29347826086956524,0.17824161922833648,0.2917773561037318,0.3718001164670418
GaussianNB,bayes,hybrid_50,80,0.2896326530612245,0.12057189835897035,0.41272463768115947,0.26066998473450087,0.33171204415022715,0.2,0.3288405797101449,0.16861704603640087,0.23188846995298606,0.3417666500081247
