Model,Family,Imbalance Strategy,Feature Count,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1,Selection Score
XGBoost shallow,xgboost,hybrid_50,80,0.6973877551020408,0.0474773713608593,0.5248405797101449,0.5293185508902895,0.6949786388904523,0.62,0.5876811594202899,0.4959451401311866,0.6188133571854503,0.8032514652800986
XGBoost deeper,xgboost,oversample_equal,80,0.6972244897959184,0.06552076969918912,0.5404927536231885,0.5354006782544696,0.7019985567646638,0.66,0.30782608695652175,0.3,0.6463636363636364,0.8043046254468124
CatBoost shallow,catboost,hybrid_50,80,0.6893061224489797,0.06153575299200629,0.594144927536232,0.5633390082596981,0.6969071321638491,0.56,0.44565217391304346,0.4021531100478469,0.5690430622009569,0.8019739241009194
CatBoost shallow,catboost,oversample_equal,80,0.6892244897959183,0.0437215832625271,0.5629855072463767,0.5521145098893797,0.6951354229164222,0.66,0.40043478260869564,0.36162385544121217,0.6642930070496718,0.7996473917737943
XGBoost shallow,xgboost,oversample_equal,80,0.6889795918367347,0.07102838331951947,0.5007536231884059,0.5014044266255171,0.6866969066162902,0.66,0.4250724637681159,0.40211180124223594,0.6519378881987576,0.7892604771618381
LightGBM shallow,lightgbm,hybrid_50,80,0.6815510204081633,0.025322443716364138,0.5395072463768116,0.5269116437873438,0.6806028063000524,0.6,0.46304347826086956,0.39666666666666667,0.5923333333333333,0.7869333491656321
LightGBM compact,lightgbm,hybrid_50,80,0.673469387755102,0.036386558978589535,0.5175072463768116,0.5147409138577353,0.6737495492337454,0.56,0.4443478260869565,0.38085470085470086,0.5586324786324787,0.7764175705266491
XGBoost conservative,xgboost,hybrid_50,80,0.6731428571428572,0.04130434778796401,0.5125797101449276,0.5166328713752376,0.6770635082340565,0.62,0.5863768115942029,0.49991869918699183,0.6288373983739838,0.7764694314179047
LightGBM regularized,lightgbm,hybrid_50,80,0.6693061224489796,0.03793275358120465,0.5340289855072464,0.5297094309177961,0.6733902281085207,0.6,0.5197101449275362,0.4602325581395349,0.6061317829457366,0.7752480086325388
XGBoost deeper,xgboost,hybrid_50,80,0.6648979591836734,0.05171671788491614,0.49802898550724634,0.5003513588333981,0.670133359583087,0.58,0.5110144927536231,0.4397435897435897,0.5914102564102565,0.764968230950353
